# spectral number density of the CMB photon field
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
4.365158322401522310e+05,5.527020873264904134e+06
4.466835921509488253e+05,5.655761221491220407e+06
4.570881896148601663e+05,5.787500293793360703e+06
4.677351412871828070e+05,5.922307938303517178e+06
4.786300923226223676e+05,6.060255630072874948e+06
4.897788193684295984e+05,6.201416508964954875e+06
5.011872336272550747e+05,6.345865418431429192e+06
5.128613839913469856e+05,6.493678945191070437e+06
5.248074602497540182e+05,6.644935459832769819e+06
5.370317963702335255e+05,6.799715158364236355e+06
5.495408738576045725e+05,6.958100104728286155e+06
5.623413251903282944e+05,7.120174274309370667e+06
5.754399373371354304e+05,7.286023598453318700e+06
5.888436553555667633e+05,7.455736010023910552e+06
6.025595860743346857e+05,7.629401490020447411e+06
6.165950018614581786e+05,7.807112115281003527e+06
6.309573444801684236e+05,7.988962107296627015e+06
6.456542290346297668e+05,8.175047882162383758e+06
6.606934480075694155e+05,8.365468101691721939e+06
6.760829753919541836e+05,8.560323725721182302e+06
6.918309709189079003e+05,8.759718065633298829e+06
7.079457843841083813e+05,8.963756839125864208e+06
7.244359600749594392e+05,9.172548226256789640e+06
7.413102413008857984e+05,9.386202926794106141e+06
7.585775750291510485e+05,9.604834218901569024e+06
7.762471166286577936e+05,9.828558019190898165e+06
7.943282347242464311e+05,1.005749294417262636e+07
8.128305161640628939e+05,1.029176037313787267e+07
8.317637711026334437e+05,1.053148451250459440e+07
8.511380382023375714e+05,1.077679246166230738e+07
8.709635899560403777e+05,1.102781428035010956e+07
8.912509381337038940e+05,1.128468305760384724e+07
9.120108393558666576e+05,1.154753498230882362e+07
9.332543007969466271e+05,1.181650941539550759e+07
9.549925860213900451e+05,1.209174896371643990e+07
9.772372209557631286e+05,1.237339955564354546e+07
9.999999999999508727e+05,1.266161051842586324e+07
1.023292992280703504e+06,1.295653465734861419e+07
1.047128548050847137e+06,1.325832833673571795e+07
1.071519305237552151e+06,1.356715156283842400e+07
